iter	MAE
0	0.6228811353
1	0.5671223809
2	0.5214053925
3	0.485158668
4	0.4557581399
5	0.4316249491
6	0.4125147174
7	0.396480169
8	0.3837596087
9	0.3727529665
10	0.3641760318
11	0.3558214485
12	0.3482779405
13	0.3428800155
14	0.3384371256
15	0.3343964266
16	0.3310711001
17	0.3281332789
18	0.3249964072
19	0.3228925814
20	0.3209056697
21	0.3191937605
22	0.3175297605
23	0.3160173066
24	0.3139696013
25	0.3125004629
26	0.3111868668
27	0.3094814244
28	0.3084895163
29	0.3076782173
30	0.3068602974
31	0.3057789254
32	0.3048681383
33	0.304031795
34	0.3032821275
35	0.3024776953
36	0.3016411694
37	0.3010020203
38	0.2999177064
39	0.2992074036
40	0.29859242
41	0.2977995188
42	0.2969957929
43	0.2965062553
44	0.2961574776
45	0.2956920995
46	0.2951722023
47	0.2945313965
48	0.2940071021
49	0.2935344376
50	0.2931604374
51	0.2925297924
52	0.2920469916
53	0.2914659861
54	0.2909641159
55	0.2906769209
56	0.290216004
57	0.2897701048
58	0.2892327507
59	0.2888591854
60	0.2885093179
61	0.2879538036
62	0.2876202968
63	0.2869458872
64	0.2863048018
65	0.2860508144
66	0.2856058649
67	0.2850994008
68	0.284436923
69	0.2840916323
70	0.2837540413
71	0.2834459956
72	0.2832241039
73	0.2828153664
74	0.2822955198
75	0.2820068715
76	0.281465986
77	0.2811433973
78	0.2807206027
79	0.2803584217
80	0.279982541
81	0.2795564742
82	0.279139016
83	0.278808484
84	0.2784258228
85	0.2780819582
86	0.277880691
87	0.2776673846
88	0.2772554539
89	0.2767962069
90	0.2764160525
91	0.276175901
92	0.2759056311
93	0.2756970229
94	0.2753682506
95	0.2751632656
96	0.2748782894
97	0.2746092206
98	0.2742549741
99	0.2739930882
100	0.273683487
101	0.2734895807
102	0.2733719595
103	0.2730485251
104	0.2727952385
105	0.2725411641
106	0.2723459763
107	0.2722197971
108	0.2720123172
109	0.2718375951
110	0.27162302
111	0.2713239856
112	0.2711215465
113	0.2708769631
114	0.2706102276
115	0.2704285528
116	0.2702354978
117	0.2699712527
118	0.269735666
119	0.2695713828
120	0.269435134
121	0.2693372728
122	0.2691590527
123	0.2690640332
124	0.2689300861
125	0.2687010364
126	0.2684092998
127	0.2681935618
128	0.2679897642
129	0.2678550227
130	0.2676508191
131	0.2673741045
132	0.2671313016
133	0.266845616
134	0.2667117211
135	0.2665282588
136	0.2664225036
137	0.2662765919
138	0.2660936961
139	0.2657819016
140	0.2655512452
141	0.26543141
142	0.2651848396
143	0.2650501917
144	0.2649140049
145	0.264698741
146	0.2644746682
147	0.2644046216
148	0.2642295462
149	0.2640169976
150	0.2638726595
151	0.2637368087
152	0.2636154032
153	0.2634665009
154	0.26340302
155	0.2632170895
156	0.2630537846
157	0.2628455
158	0.2627335288
159	0.2625625816
160	0.2624278313
161	0.2621869851
162	0.262017594
163	0.2618083565
164	0.2616702454
165	0.2615086116
166	0.2613996384
167	0.2612161672
168	0.2610465195
169	0.2609386739
170	0.2608275442
171	0.2606514842
172	0.2604807992
173	0.2602757648
174	0.2600654984
175	0.2598912088
176	0.2596402592
177	0.259386781
178	0.2592279355
179	0.2591083294
180	0.2589302073
181	0.2587647998
182	0.2586277268
183	0.2584789813
184	0.2583635213
185	0.2582118829
186	0.2581203929
187	0.2579449982
188	0.2577322849
189	0.2576099669
190	0.2575031936
191	0.2574037991
192	0.2571798344
193	0.2571057539
194	0.2568092315
195	0.2566363143
196	0.256569416
197	0.2564453364
198	0.256313697
199	0.2561718435
200	0.2561189914
201	0.255896456
202	0.2558057823
203	0.2557109157
204	0.2555530165
205	0.2553847418
206	0.2552265834
207	0.2551211539
208	0.2549969478
209	0.2549050554
210	0.254790362
211	0.2546553719
212	0.2545479086
213	0.2544793919
214	0.2544070843
215	0.254242244
