iter	Passed	Remaining
0	155	93123
1	294	88185
2	455	90672
3	605	90186
4	775	92238
5	917	90859
6	1074	91062
7	1216	89984
8	1383	90844
9	1527	90108
10	1686	90329
11	1834	89876
12	2009	90737
13	2158	90359
14	2344	91435
15	2482	90625
16	2638	90482
17	2780	89898
18	2946	90114
19	3102	89983
20	3272	90234
21	3413	89693
22	3570	89574
23	3715	89170
24	3881	89281
25	4041	89213
26	4201	89166
27	4342	88720
28	4508	88763
29	4705	89403
30	4942	90727
31	5110	90716
32	5281	90750
33	5426	90328
34	5595	90322
35	5739	89923
36	5910	89931
37	6064	89689
38	6219	89466
39	6364	89109
40	6551	89326
41	6692	88920
42	6865	88927
43	7009	88575
44	7184	88603
45	7328	88260
46	7493	88171
47	7759	89235
48	7982	89761
49	8201	90220
50	8371	90119
51	8542	90024
52	8693	89723
53	8854	89524
54	8999	89175
55	9167	89057
56	9317	88763
57	9487	88663
58	9631	88313
59	9787	88083
60	9948	87902
61	10169	88241
62	10446	89044
63	10618	88934
64	10794	88848
65	10942	88531
66	11137	88602
67	11280	88255
68	11448	88099
69	11592	87773
70	11758	87609
71	11897	87247
72	12057	87044
73	12198	86709
74	12356	86498
75	12499	86178
76	12663	86009
77	12941	86607
78	13170	86860
79	13404	87128
80	13575	86984
81	13748	86850
82	13895	86552
83	14066	86406
84	14212	86112
85	14372	85897
86	14522	85634
87	14690	85472
88	14834	85175
89	15006	85036
90	15156	84774
91	15320	84597
92	15469	84334
93	15648	84236
94	15789	83935
95	15950	83738
96	16100	83490
97	16258	83283
98	16412	83058
99	16585	82927
100	16726	82638
101	16882	82427
102	17067	82353
103	17260	82317
104	17406	82059
105	17578	81920
106	17715	81622
107	17865	81388
108	18025	81197
109	18201	81078
110	18346	80824
111	18521	80700
112	18748	80801
113	18958	80821
114	19154	80783
115	19356	80761
116	19544	80682
117	19720	80551
118	19871	80320
119	20055	80222
120	20243	80136
121	20417	79996
122	20567	79760
123	20726	79562
124	20871	79311
125	21034	79128
126	21230	79070
127	21422	78996
128	21590	78829
129	21768	78699
130	21908	78435
131	22089	78318
132	22239	78088
133	22408	77928
134	22558	77701
135	22729	77549
136	22873	77301
137	23032	77107
138	23173	76856
